trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1371,False,"{'a': 0.002, 'e': 0.06457034689316847}",25,11,23.956118257124526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1372,False,"{'a': 0.002, 'e': 0.06444133525402518}",25,0,16.76220434032598,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1373,False,"{'a': 0.002, 'e': 0.06431258138030878}",20,0,31.429319020296493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1374,False,"{'a': 0.002, 'e': 0.06418408475700368}",20,0,-2.532830136792813,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
1375,False,"{'a': 0.002, 'e': 0.06405584487012317}",20,5,26.698624256955103,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1376,False,"{'a': 0.002, 'e': 0.06392786120670757}",20,7,5.95420268884679,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1377,False,"{'a': 0.002, 'e': 0.063800133254822}",35,11,41.246729600062025,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1378,False,"{'a': 0.002, 'e': 0.06367266050355457}",20,9,20.795781082343627,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1379,False,"{'a': 0.002, 'e': 0.063545442443014}",20,16,7.622252801206853,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1380,False,"{'a': 0.002, 'e': 0.06341847856432796}",25,4,33.67386383355812,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1381,False,"{'a': 0.002, 'e': 0.0632917683596407}",25,7,6.163013762665501,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1382,False,"{'a': 0.002, 'e': 0.06316531132211131}",20,6,24.19696990131247,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1383,False,"{'a': 0.002, 'e': 0.0630391069459114}",20,9,18.976423294883855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1384,False,"{'a': 0.002, 'e': 0.06291315472622334}",30,13,-0.6804266973633344,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1385,False,"{'a': 0.002, 'e': 0.06278745415923806}",25,12,0.3833158900617031,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1386,False,"{'a': 0.002, 'e': 0.06266200474215315}",25,0,43.74809761526322,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1387,False,"{'a': 0.002, 'e': 0.06253680597317074}",25,5,29.893945762458806,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1388,False,"{'a': 0.002, 'e': 0.06241185735149562}",20,1,24.64374853698444,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1389,False,"{'a': 0.002, 'e': 0.0622871583773331}",25,14,19.97559779754108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1390,False,"{'a': 0.002, 'e': 0.062162708551887165}",30,15,10.224264842626322,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1391,False,"{'a': 0.002, 'e': 0.06203850737735829}",20,14,13.333148732253191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1392,False,"{'a': 0.002, 'e': 0.061914554356941674}",25,20,9.725907790899697,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1393,False,"{'a': 0.002, 'e': 0.061790848994825016}",20,0,36.36997929604981,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1394,False,"{'a': 0.002, 'e': 0.061667390796186744}",25,5,30.726304090114283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1395,False,"{'a': 0.002, 'e': 0.06154417926719386}",30,4,37.84258887325726,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1396,False,"{'a': 0.002, 'e': 0.06142121391500013}",35,15,23.071069953950115,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1397,False,"{'a': 0.002, 'e': 0.061298494247743925}",25,15,7.509210034206294,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1398,False,"{'a': 0.002, 'e': 0.06117601977454647}",20,12,8.311747648746596,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1399,False,"{'a': 0.002, 'e': 0.06105379000550965}",20,8,20.978320224489398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1400,False,"{'a': 0.002, 'e': 0.06093180445171429}",30,10,33.916375514129015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1401,False,"{'a': 0.002, 'e': 0.06081006262521795}",20,2,20.44457443392054,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1402,False,"{'a': 0.002, 'e': 0.06068856403905322}",25,13,21.814323179445907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1403,False,"{'a': 0.002, 'e': 0.060567308207225536}",20,5,29.67065567542766,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1404,False,"{'a': 0.002, 'e': 0.06044629464471146}",25,10,24.181616266518983,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1405,False,"{'a': 0.002, 'e': 0.06032552286745654}",25,18,12.888269676737115,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1406,False,"{'a': 0.002, 'e': 0.06020499239237354}",20,13,13.727191050043691,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1407,False,"{'a': 0.002, 'e': 0.06008470273734036}",20,0,37.330352454686704,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1408,False,"{'a': 0.002, 'e': 0.05996465342119827}",25,9,24.04868508667755,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1409,False,"{'a': 0.002, 'e': 0.059844843963749825}",20,11,13.878513862144477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1410,False,"{'a': 0.002, 'e': 0.05972527388575699}",25,13,18.89892845091729,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1411,False,"{'a': 0.002, 'e': 0.05960594270893937}",20,2,30.802803916181105,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1412,False,"{'a': 0.002, 'e': 0.05948684995597202}",20,14,14.14682019960575,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1413,False,"{'a': 0.002, 'e': 0.05936799515048385}",20,6,13.216649378714134,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1414,False,"{'a': 0.002, 'e': 0.0592493778170554}",25,9,20.599921943289598,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1415,False,"{'a': 0.002, 'e': 0.05913099748121725}",25,19,10.955402595466916,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1416,False,"{'a': 0.002, 'e': 0.05901285366944784}",20,9,21.012677607471012,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1417,False,"{'a': 0.002, 'e': 0.05889494590917182}",20,8,21.342085297620784,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1418,False,"{'a': 0.002, 'e': 0.058777273728757934}",20,11,16.267640901887738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1419,False,"{'a': 0.002, 'e': 0.05865983665751736}",20,6,13.973386977756821,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1420,False,"{'a': 0.002, 'e': 0.0585426342257016}",25,15,20.26458618406451,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1421,False,"{'a': 0.002, 'e': 0.05842566596450083}",20,16,6.841986800844833,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1422,False,"{'a': 0.002, 'e': 0.05830893140604179}",20,13,11.145686104889453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1423,False,"{'a': 0.002, 'e': 0.05819243008338615}",25,0,34.60480322549619,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1424,False,"{'a': 0.002, 'e': 0.0580761615305284}",20,12,15.955947316409736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
